Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-March-2020,20.95,21.15,20.20,20.80,20.676310923689865636,1013522,2458,20955896.00,321613,31.73,0.95,-0.15
30-March-2020,20.20,20.65,19.70,20.25,20.254955969573940637,1227106,2283,24854978.00,383867,31.28,0.95,0.05
27-March-2020,20.65,21.90,20.20,20.40,21.084739004572721014,1301632,7775,27444571.00,447186,34.36,1.70,-0.25
26-March-2020,20.50,21.10,19.45,20.60,20.521485068087904621,1189198,3900,24404109.00,349876,29.42,1.65,0.10
25-March-2020,20.00,20.20,19.20,19.90,19.711937571771583672,957900,2145,18882065.00,321632,33.58,1.00,-0.10
24-March-2020,20.50,21.20,19.50,20.05,20.252838441127967885,1822215,6817,36905026.00,447727,24.57,1.70,-0.45
23-March-2020,22.00,22.00,20.05,20.20,20.857478616647320803,1457676,5942,30403446.00,982944,67.43,1.95,-1.80
20-March-2020,23.25,23.90,22.10,23.40,23.054927824392417340,2576563,4063,59402474.00,549184,21.31,1.80,0.15
19-March-2020,22.90,23.50,21.85,22.50,22.652958885369604712,2754348,5477,62394132.00,770788,27.98,1.65,-0.40
18-March-2020,23.90,24.35,22.40,23.45,23.043452294486977606,2843141,4940,65515784.00,575911,20.26,1.95,-0.45
17-March-2020,24.00,25.30,23.00,23.40,24.257435347342491643,2270943,3889,55087253.00,433141,19.07,2.30,-0.60
16-March-2020,24.75,25.70,23.35,23.70,24.644970068290906865,2548802,8199,62815149.00,1098939,43.12,2.35,-1.05
13-March-2020,23.45,26.35,20.60,25.90,24.123758565175200773,3430607,8848,82759135.00,735752,21.45,5.75,2.45
12-March-2020,26.75,26.75,24.00,24.25,24.862336811455696710,3360913,4846,83560151.00,737074,21.93,2.75,-2.50
11-March-2020,27.50,28.60,27.20,27.55,27.977072159167086920,2938698,3761,82216166.00,352052,11.98,1.40,0.05
9-March-2020,29.00,29.00,27.00,27.15,28.021536484068698690,1548210,3090,43383223.00,509260,32.89,2.00,-1.85
6-March-2020,30.25,30.25,29.00,29.55,29.337941605951678074,1170359,2182,34335924.00,292494,24.99,1.25,-0.70
5-March-2020,30.65,31.35,30.00,30.70,30.566985541146313766,1529651,1795,46756820.00,391979,25.63,1.35,0.05
4-March-2020,31.20,31.20,29.85,30.65,30.122018431432969604,18335525,1800,552303022.00,195061,1.06,1.35,-0.55
3-March-2020,30.15,31.30,29.85,30.65,30.641109949384372318,18795776,2339,575923439.00,286965,1.53,1.45,0.50
2-March-2020,31.40,31.70,29.05,29.50,30.553922126524313703,1194964,2787,36510837.00,382730,32.03,2.65,-1.90
28-February-2020,31.95,31.95,30.35,30.60,30.865111907023808223,1098948,2992,33919153.00,424863,38.66,1.60,-1.35
27-February-2020,33.45,33.45,32.10,32.55,32.613840644467757184,926532,2768,30217767.00,190966,20.61,1.35,-0.90
26-February-2020,33.80,33.80,33.10,33.25,33.403582911738516730,698538,1492,23333672.00,178663,25.58,0.70,-0.55
25-February-2020,33.95,34.50,33.70,33.90,34.067611624329055726,726029,1527,24734074.00,119442,16.45,0.80,-0.05
24-February-2020,34.70,34.75,33.75,33.95,34.255369548192681394,671658,1656,23007893.00,213831,31.84,1.00,-0.75
20-February-2020,35.40,35.85,34.90,35.10,35.361540306763182773,921297,1519,32578481.00,196933,21.38,0.95,-0.30
19-February-2020,34.95,35.50,34.20,35.40,34.951652486220489056,947784,1706,33126617.00,238700,25.18,1.30,0.45
18-February-2020,34.40,34.90,33.40,34.70,34.130765372361139349,1569001,2757,53551205.00,297222,18.94,1.50,0.30
17-February-2020,36.25,36.40,34.70,34.80,35.385227055427567178,878552,3179,31087762.00,214499,24.42,1.70,-1.45
14-February-2020,37.20,37.45,36.00,36.20,36.745511564469033348,1041120,1940,38256487.00,326436,31.35,1.45,-1.00
13-February-2020,36.90,37.30,36.25,37.05,36.894421045892530853,952813,2245,35153484.00,209192,21.96,1.05,0.15
12-February-2020,37.95,38.15,35.80,36.35,36.556626941534167829,2617067,5924,95671142.00,648545,24.78,2.35,-1.60
11-February-2020,39.00,39.10,38.25,38.55,38.674233243614438363,940716,2116,36381470.00,222277,23.63,0.85,-0.45
10-February-2020,39.95,40.00,37.90,38.25,38.559962074650048121,1049430,2732,40465981.00,436042,41.55,2.10,-1.70
7-February-2020,39.60,40.25,39.25,39.80,39.703478173572962195,926377,1763,36780389.00,176336,19.04,1.00,0.20
6-February-2020,39.80,40.20,39.45,39.55,39.736078982270487919,713274,1572,28342712.00,206835,29.00,0.75,-0.25
5-February-2020,40.05,40.50,39.25,39.60,39.855174130664096038,1100639,2324,43866159.00,211527,19.22,1.25,-0.45
4-February-2020,40.00,40.20,39.35,39.90,39.752277907935900538,789211,4060,31372935.00,188779,23.92,0.85,-0.10
3-February-2020,40.20,40.50,38.80,39.40,39.660482288899137992,1231544,3117,48843629.00,348850,28.33,1.70,-0.80
1-February-2020,42.70,43.55,39.25,40.05,41.654841412576406358,1059794,3442,44145551.00,390414,36.84,4.30,-2.65
31-January-2020,44.40,44.55,42.05,42.70,43.177815718077408023,1019145,2143,44004455.00,360650,35.39,2.50,-1.70
30-January-2020,44.75,44.75,43.30,44.05,43.714591392743143051,907583,1697,39674620.00,165697,18.26,1.45,-0.70
29-January-2020,43.80,45.10,43.60,44.55,44.416605082242587675,867373,1967,38525764.00,183856,21.20,1.50,0.75
28-January-2020,44.25,44.40,43.10,43.30,43.781912571572447347,552063,2257,24170374.00,153276,27.76,1.30,-0.95
27-January-2020,44.90,44.90,43.80,43.95,44.415001374411511896,916756,1619,40717719.00,131263,14.32,1.10,-0.95
24-January-2020,43.65,45.20,43.40,45.00,44.504088190580424409,1185977,2588,52780825.00,252776,21.31,1.80,1.35
23-January-2020,43.40,44.00,43.30,43.45,43.526651761378449481,759462,1524,33056838.00,209212,27.55,0.70,0.05
22-January-2020,44.10,44.10,43.05,43.40,43.410683160419290815,744686,1647,32327328.00,207513,27.87,1.05,-0.70
21-January-2020,44.95,45.45,43.20,43.35,44.083461727641823581,1166978,2313,51444430.00,272320,23.34,2.25,-1.60
20-January-2020,46.35,46.55,44.70,44.95,45.523851967722004550,1071442,2015,48776167.00,200761,18.74,1.85,-1.40
17-January-2020,47.10,47.10,46.05,46.15,46.481130212652744781,481113,1294,22362676.00,152499,31.70,1.05,-0.95
16-January-2020,47.60,47.75,46.45,46.55,47.000333515484097725,779574,2150,36640238.00,211446,27.12,1.30,-1.05
15-January-2020,45.95,46.95,45.50,46.85,46.418067943311512580,777089,2006,36070970.00,210977,27.15,1.45,0.90
14-January-2020,46.65,46.65,45.45,45.90,46.054422453456136156,715293,1758,32942406.00,207252,28.97,1.20,-0.75
13-January-2020,45.00,46.55,44.70,46.05,45.908984156164148241,780051,2611,35811349.00,216391,27.74,1.85,1.05
10-January-2020,45.20,45.50,44.40,44.75,44.938534136693551346,681305,1707,30616848.00,141912,20.83,1.10,-0.45
9-January-2020,44.00,45.10,43.80,44.90,44.585687135228666860,1128104,3920,50297292.00,329942,29.25,1.30,0.90
8-January-2020,42.60,43.35,42.45,43.15,42.992719259559002944,659823,1825,28367585.00,156858,23.77,0.90,0.55
7-January-2020,43.05,44.00,42.70,43.40,43.421130961408191533,989070,2881,42946538.00,222287,22.47,1.30,0.35
6-January-2020,44.40,44.40,42.40,42.65,43.013342032004245057,1010116,2396,43448465.00,283083,28.02,2.00,-1.75
